uuid,title,jobFamily,level,focusTag,yearsOfExperience,yearsAtCompany,yearsAtLevel,offerDate,location,workArrangement,compPerspective,cityId,dmaId,countryId,exchangeRate,baseSalary,baseSalaryCurrency,totalCompensation,avgAnnualStockGrantValue,stockGrantCurrency,avgAnnualBonusValue,bonusCurrency,salesComp,negotiatedAmount,gender,ethnicity,education,otherDetails,vestingSchedule,tags,companyInfo.registered,companyInfo.icon,companyInfo.name,companyInfo.slug,companyInfo
a4bb2f13-47b8-4292-a2a3-5ac18670f76f,Revenue Accountant,Accountant,P2,Accounting,2,1,1.0,20230814,"San Jose, CA",remote,employee,7422,807,254,1.0,115000.0,USD,131000.0,6000.0,USD,10000.0,USD,,,female,,,,,,True,https://logo.clearbit.com/newrelic.com,New Relic,new-relic,
548e84d7-9165-4ca0-8dc7-7598be8d368f,Accountant,Accountant,L5,Peperoni,20,12,2.0,20230814,"Miami, FL",office,employee,1242,528,254,1.34635,91696.8099,CAD,91696.8099,,,,,,,,,,,,,True,https://logo.clearbit.com/dominos.com,Domino's Pizza,dominos-pizza,
b6579faa-574f-46e3-b66b-37b6ed0486cc,Tax Associate,Accountant,L1,r,1,0,,20230812,"Los Angeles, CA",office,offer,7275,803,254,1.0,78000.0,USD,78000.0,,,,,,,,,,,,['H-1B'],True,https://logo.clearbit.com/kpmg.ca,KPMG,kpmg,
ebf6399a-1211-41c2-b1a1-364a1fae7d66,Auditor,Accountant,Senior Manager,FSO,5-10,5-10,1.0,20230812,"Los Angeles, CA",hybrid,employee,7275,803,254,1.0,160000.0,USD,171000.0,,,11000.0,USD,,,,,,,,['H-1B'],True,https://logo.clearbit.com/ey.com,Ernst and Young,ernst-and-young,
9e8da402-96b8-410e-a3d6-cea63f2408c4,Associate,Accountant,False,Tax,0-1,0-1,,20230811,"Los Angeles, CA",office,offer,7275,803,254,1.0,65000.0,USD,65000.0,,,,,,,,,,,,,True,https://logo.clearbit.com/claconnect.com,CLA,cla,
dd92ea72-19a7-4172-8124-6511238d6391,Accountant,Accountant,IC4,Senior accountant,6,1,1.0,20230811,"San Francisco, CA",remote,employee,7419,807,254,1.0,120000.0,USD,120000.0,,,,,,,,,,,,,True,https://logo.clearbit.com/calm.com,Calm,calm,
2351e083-2691-4e34-9dd6-3f72e53f395d,Accountant,Accountant,L2,Support,3,0,,20230811,"Chicago, IL",hybrid,offer,8198,602,254,1.0,80000.0,USD,80000.0,,,,,,,,,,,,,True,http://logo.bigpicture.io/logo/powerhousenow.com,Powerhouse,powerhouse,
480417b5-2c32-4f89-80a0-7158d114f24b,Audit Associate,Accountant,Associate,A1,0,0,,20230811,"Arlington, VA",hybrid,offer,11342,511,254,1.0,78000.0,USD,78500.0,,,500.0,USD,,,,,,,,,True,https://logo.clearbit.com/grantthornton.com,Grant Thornton,grant-thornton,
9a5d5a08-5cda-4730-a7f5-4d7e9e341490,False,Accountant,False,False,5-10,2-4,2.0,20230810,"San Francisco, CA",hybrid,employee,7419,807,254,1.0,94000.0,USD,114000.0,20000.0,USD,,,,,False,False,False,,,,,,,,False
88e3e6bd-0956-4331-b9b7-3328e7b4fa1a,Accountant,Accountant,Entry,Accountant,3,2,1.0,20230810,"Chicago, IL",hybrid,employee,8198,602,254,1.0,110000.0,USD,110000.0,,,,,,,,,,,,,True,https://logo.clearbit.com/paypal.com,PayPal,paypal,
