state,minimum_wage,tipped_wage
 Alabama,7.25,2.13
 Alaska,11.73,11.73
 Arizona,14.35,11.35
 Arkansas,11.0,2.63
 California,16.0,16.0
 Colorado,14.42,11.4
 Connecticut,15.69,6.38
 Delaware,13.25,2.23
 District of Columbia,17.0,8.0
 Florida,12.0,8.98
 Georgia,7.25,2.13
 Hawaii,14.0,12.75
 Idaho,7.25,3.35
 Illinois,14.0,8.4
 Indiana,7.25,2.13
 Iowa,7.25,4.35
 Kansas,7.25,2.13
 Kentucky,7.25,2.13
 Louisiana,7.25,2.13
 Maine,14.15,7.08
 Maryland,15.0,3.63
 Massachusetts,15.0,6.75
 Michigan,10.33,3.93
 Minnesota,10.85,10.85
 Mississippi,7.25,2.13
 Missouri,12.3,6.15
 Montana,9.95,9.95
 Nebraska,12.0,2.13
 Nevada,11.25,11.25
 New Hampshire,7.25,3.27
 New Jersey,15.13,5.26
 New Mexico,12.0,3.0
 New York,15.0,10.0
 North Carolina,7.25,2.13
 North Dakota,7.25,4.86
 Ohio,10.45,5.25
 Oklahoma,7.25,2.13
 Oregon,14.2,14.2
 Pennsylvania,7.25,2.83
 Puerto Rico,9.5,2.13
 Rhode Island,14.0,3.89
 South Carolina,7.25,2.13
 South Dakota,11.2,5.6
 Tennessee,7.25,2.13
 Texas,7.25,2.13
 Utah,7.25,2.13
 Vermont,13.67,6.84
 Virginia,12.0,2.13
 Washington,16.28,16.28
 West Virginia,8.75,2.62
 Wisconsin,7.25,2.33
 Wyoming,7.25,2.13
